00000A00	Silverd
034E0F00	Hidden Space - 0023
034F0F00	Alchemy Formula: Freya's Elixir
03500F00	Filling Steamed Fish
03760B00	Lavender
037F0E00	Field Pack
03B20100	Emil Plate Armor
03BC0100	Rubidan Leather Armor
03E10100	Steinmers Leather Gloves
04080200	Russmore Leather Boots
04430F00	Demenissian Rebel Leather Gloves
04440F00	Recipe: Braised Ribs
04450F00	Gearmelt Confectionery Pack
04460F00	Fine Meat
04470F00	Pickled Fruit
04480F00	Two-Handled Iron Water Bottle
04490F00	Packaged Nacre Lacquer
044A0F00	Sealed Abyss Artifact
044B0F00	Alina's Poster
044C0F00	Engraved Stone
044D0F00	Medium Livestock Capacity Increase
044E0F00	Hidden Space - 0024
044F0F00	Alchemy Formula: Freya's Greater Elixir
04500F00	Hearty Seafood Stew
04760B00	Blue Lavender
047F0E00	Tanner's Pack
04B20100	Schtump Cloth Armor
04BC0100	Resian Leather Armor
05430F00	Bleed Alchemist's Cloth Armor
05440F00	Recipe: Meat and Vegetable Porridge
05450F00	Mysterious Liquid
05460F00	Tender Meat
05470F00	Battered Grains
05480F00	Old Two-Handled Iron Water Bottle
05490F00	Packaged Pelt
054A0F00	Sealed Abyss Artifact
054B0F00	Samir's Poster
054C0F00	A.T.A.G. Flamespitter
054D0F00	Clue from Fort Anvil
054E0F00	Hidden Space - 0025
054F0F00	Alchemy Formula: Apollonia's Lesser Elixir
05500F00	Satisfying Seafood Stew
05760B00	White Lavender
057F0E00	Tanner's Pack
05860300	Pailunese Riteblade
058B0100	Tanion Plate Helm
05B20100	Sven's Cloth Armor
05BF0100	Lackey Cloth Armor
05C21100	Naira's Basic Attire
06080200	Clarille Leather Boots
06430F00	Field Sprayer
06440F00	Grilled Bird Meat
06450F00	Orange Pack
06460F00	Marbled Meat
06470F00	Meat and Fish Skewers
06480F00	Two-Handled Brass Container
06490F00	Packaged Sugar
064A0F00	Sealed Abyss Artifact
064B0F00	Zara's Poster
064C0F00	Undelivered Trader's Letter
064D0F00	Twilight Messengers' Cloak
064E0F00	Hidden Space - 0026
064F0F00	Alchemy Formula: Apollonia's Elixir
06500F00	Filling Seafood Stew
06760B00	Yellow Lavender
067F0E00	Field Pack
06B20100	Yakkov Cloth Armor
06BF0100	Kassa Cloth Armor
07430F00	Recipe: Battered Vegetables
07440F00	Recipe: Steamed Eggs
07450F00	Grape Pack
07460F00	Varnian Priest's Big Staff
07470F00	Braised Meat and Fish
07480F00	Water Bottle of the Agonized
07490F00	Packaged Honey
074A0F00	Sealed Abyss Artifact
074B0F00	Fatima's Poster
074C0F00	A.T.A.G. Laser
074D0F00	Twilight Messengers' Plate Armor
074E0F00	Hidden Space - 0027
074F0F00	Alchemy Formula: Apollonia's Greater Elixir
07500F00	Hearty Steamed Seafood
075F6E5A	Cacoreum Leather Gloves
07760B00	Garlic
077F0E00	Technician's Pack
07B20100	Ernst Chain Mail
07BB0400	Cog Destroyer Spear
07BC0100	Larkson Leather Armor
07BF0100	Annis Cloth Armor
08080200	Meadows Leather Boots
08430F00	Wolf Tracker Helm
08440F00	Antumbra Leather Gloves
08450F00	Cotton Pack
08460F00	Recipe: Special Meal
08470F00	Meat and Fish Porridge
08480F00	Distiller
08490F00	Packaged Flour
084A0F00	Sealed Abyss Artifact
084B0F00	Nora's Poster
084C0F00	Ingredient Dispenser Instructions
084D0F00	Twilight Messengers' Plate Armor
084E0F00	Hidden Space - 0028
084F0F00	Alchemy Formula: Meliara's Lesser Elixir
08500F00	Satisfying Steamed Seafood
087F0E00	Farmer's Pack
08BB0400	Spear of Righteousness
08BC0100	Matana Leather Armor
08C21100	Naira's Gloves
08E10100	Adeion Leather Gloves
09422000	Mortain Chain Mail
09430F00	Runewalker Shield
09440F00	Antumbra Leather Boots
09450F00	Dendrobium Orchid Pack
09460F00	B's Secret Letter
09470F00	Battered Meat and Fish
09480F00	Blue Jar-Shaped Water Bottle
09490F00	Packaged Salt
094A0F00	Sealed Abyss Artifact
094B0F00	Esford's Poster
094C0F00	White Bear Helm
094D0F00	Golden Free Company's Plate Armor
094E0F00	Hidden Space - 0029
094F0F00	Alchemy Formula: Meliara's Elixir
09500F00	Filling Steamed Seafood
096D0400	Dekarr Shield
097F0E00	Farmer's Pack
09B20100	Ditter Cloth Armor
09BB0400	Valgash's Incomplete Work
09BC0100	Radian Cloth Armor
09C21100	Naira's Boots
09CF0000	Apple Seed
0A422000	Hewlette Cloth Armor
0A430F00	Circuit Hijacking Helm
0A440F00	Slaughterer's Leather Armor
0A450F00	Shadowleaf Disguise Blueprint
0A460F00	Disruptor
0A470F00	Braised Ribs
0A480F00	White Jar-Shaped Water Bottle
0A490F00	Packaged Black Pepper
0A4A0F00	Sealed Abyss Artifact
0A4B0F00	Church Crypt Key
0A4C0F00	Antumbra's Ritual Site
0A4D0F00	Gear Blueprint: Warden of Darkness
0A4E0F00	Hidden Space - 0030
0A4F0F00	Alchemy Formula: Meliara's Greater Elixir
0A500F00	Hearty Meatball Soup
0A6D0400	Sydmon Kite Shield
0A7F0E00	Herbalist's Pack
0A8D0B00	Marigold
0ABF0100	Marka Cloth Armor
0AE10100	Crudil Leather Gloves
0B0F2000	Sorin Plate Helm
0B422000	Pioneer Cloth Armor
0B430F00	Beighen Cloth Cloak
0B440F00	Report on Beighen
0B450F00	Reindeer Cloak
0B460F00	Cow Cloak
0B470F00	Meat and Vegetable Porridge
0B480F00	Green Jar-Shaped Water Bottle
0B490F00	Packaged Brimstone
0B4A0F00	Sealed Abyss Artifact
0B4B0F00	Memory of Turbulence
0B4C0F00	Vellua Hill Archery Range
0B4D0F00	Racecourse Owner's Note
0B4E0F00	Hidden Space - 0031
0B4F0F00	Alchemy Formula: Haiden's Lesser Elixir
0B500F00	Satisfying Meatball Soup
0B7F0E00	Herbalist's Pack
0BB20100	Redman Plate Armor
0BBF0100	Makri Cloth Armor
0C0F2000	Matarion Plate Helm
0C422000	Talbern Cloth Armor
0C430F00	Wells Rebel Light Cloth Armor
0C440F00	Drakhan Hammer
0C450F00	Hydro Generator Bag
0C460F00	Saint's Necklace
0C470F00	Steamed Eggs
0C480F00	Long Crimson Water Bottle
0C490F00	Damiane's Ponytail Ticket
0C4A0F00	Sealed Abyss Artifact
0C4B0F00	Marni Laser Component
0C4C0F00	Stories of the Maids
0C4D0F00	Frost Hail
0C4E0F00	Hidden Space - 0032
0C4F0F00	Alchemy Formula: Haiden's Elixir
0C500F00	Filling Meatball Soup
0C7F0E00	Soldier's Pack
0C8D0B00	Snapdragon
0CB20100	Schmidt Plate Armor
0CBB0400	Thorn of Dark Pursuit
0CE10100	Conchetta Leather Gloves
0D0F2000	Langris Plate Helm
0D422000	Vex Cloth Armor
0D430F00	Caliburn's Combat Engineer Cloth Armor
0D440F00	Lanford Hammer
0D450F00	Bird Meat
0D460F00	Crane Control Room Key
0D470F00	Pan-Fried Marinated Meat
0D480F00	Long White Water Bottle
0D490F00	Snail
0D4A0F00	Sealed Abyss Artifact
0D4B0F00	Radiant Necklace
0D4C0F00	Groundsurge
0D4D0F00	Nix's Note
0D4E0F00	Hidden Space - 0033
0D4F0F00	Alchemy Formula: Haiden's Greater Elixir
0D500F00	Hearty Harvest Soup
0D7F0E00	Apothecary's Pack
0E430F00	Turncoat Cloth Armor
0E440F00	Competition Shield
0E450F00	Full Moon Reaper Plate Boots
0E460F00	Jerky
0E470F00	Marinated Meat
0E480F00	Long Yellow Water Bottle
0E490F00	Greymanes' Leather Armor
0E4A0F00	Sealed Abyss Artifact
0E4B0F00	Kinetic Dolphin Family
0E4C0F00	The Showstopper
0E4D0F00	Volcanic Eruption
0E4E0F00	Hidden Space - 0034
0E4F0F00	Alchemy Formula: Astrid's Lesser Elixir
0E500F00	Satisfying Harvest Soup
0E760B00	Desert Melon
0E7F0E00	Apothecary's Pack
0EE10100	Loudan Leather Gloves
0F300000	Dirty Sarantos Leather Boots
0F422000	Louis Cloth Armor
0F430F00	Wells Rebel's Leather Armor
0F440F00	Large Grilled Fish
0F450F00	Recipe: Assorted Braised Fish
0F460F00	KuKu Rocket Helmet - Equipped by Default
0F470F00	House Centipede
0F480F00	Long Blue Water Bottle
0F490F00	Greymanes' Leather Armor
0F4A0F00	Sealed Abyss Artifact
0F4B0F00	Kinetic Dolphin
0F4C0F00	Washer Instructions
0F4D0F00	Note from the Freesword Barracks
0F4E0F00	Hidden Space - 0035
0F4F0F00	Alchemy Formula: Astrid's Elixir
0F500F00	Filling Harvest Soup
0F7F0E00	Peddler's Pack
0F8B0100	Antra Plate Helm
0F8D0B00	Begonia
0FBB0400	North Wind Trident
0FE10100	Calio's Leather Gloves
10300000	Large Rhegis Leather Boots
10430F00	Turncoat Chain Mail
10440F00	One-Armed Jackal's Leather Cloak
10450F00	Goldleaves' Cloth Armor
10460F00	Recipe: Wine
10470F00	Bounty Notice - Jeffrey
10480F00	Mole
10490F00	Silver Water Pot
104A0F00	Sealed Abyss Artifact
104B0F00	Kinetic Boat
104C0F00	Grinder Instructions
104D0F00	Condemner's Plate Helm
104E0F00	Hidden Space - 0036
104F0F00	Alchemy Formula: Astrid's Greater Elixir
10500F00	Hearty Fish Stew
107F0E00	Hunter's Pack
108B0100	Laterna Plate Helm
10BB0100	Vyer Leather Armor
10E10100	Viraiton Leather Gloves
11090500	Rhinard Cannon
111A1700	Hyperion Stirrups
11422000	Warblick Cloth Armor
11430F00	Turncoat Chain Mail
11440F00	Sorcerer's Massage Stick
11450F00	Sealed Abyss Artifact
11460F00	Recipe: Delesyian Wine
11470F00	Black Centipede
11480F00	Blue Patterned Ceramic
11490F00	Celeste's Confidential Letter
114A0F00	Sealed Abyss Artifact
114B0F00	Kinetic Circle
114C0F00	Dosing Pump Instructions
114D0F00	Gear Blueprint: Tempest of Destruction
114E0F00	Hidden Space - 0037
114F0F00	Life Transference
11500F00	Satisfying Fish Stew
117F0E00	Hunter's Pack
118B0100	Zachar Plate Helm
11BB0100	Dewey Leather Armor
12080200	Keredig Leather Boots
12090500	Electromagnetic Flamespitter
120F2000	Luon Plate Helm
12300000	Hungering Fang Leather Boots
123A2000	Leuksah Chain Mail
12422000	Rellone Cloth Armor
12430F00	Turncoat Plate Armor
12440F00	The Legendary Hunter's Whereabouts
12450F00	Enset Seed
12460F00	Belkandor Plate Armor
12470F00	Florindale Flower Bomb Pack
12480F00	Slim Celadon Bottle
12490F00	Fine Logging Axe Blueprint
124A0F00	Sealed Abyss Artifact
124B0F00	Demeniss Token
124C0F00	Heater Instructions
124D0F00	Marcello Stirrups
124E0F00	Hidden Space - 0038
124F0F00	The Thief's First Note
12500F00	Filling Fish Stew
12760B00	Croton
127F0E00	Field Pack
128B0100	Unyielding Warrior's Plate Helm
128D0B00	Lily of the Valley
12940400	White Wood Bow
12BB0100	Arqus Leather Armor
13090500	Electromagnetic Frostspitter
130F2000	Witters Plate Helm
13300000	Carta Plate Boots
13430F00	Turncoat Plate Armor
13440F00	Myurdin Leather Armor
13450F00	Engraved Stone
13460F00	Fine Dress Doll
13470F00	Tomato Seed
13480F00	Freshly Fired Celadon Vase
13490F00	Spencer Pistol
134A0F00	Sealed Abyss Artifact
134B0F00	Shipwreck in Silence
134C0F00	Bottling Machine Instructions
134D0F00	Aeserion Gear Blueprint
134E0F00	Hidden Space - 0039
134F0F00	A Map Left at the Torchlight Beacon
13500F00	Hearty Mixed Stew
13760B00	Red Croton
137F0E00	Woodcutter's Pack
138B0100	Tartry Plate Helm
138D0B00	Dunbaria
13BB0100	Dremel Leather Armor
13BB0400	Traitor's Spear
13E10100	Maeve Leather Gloves
14080200	Neirnim Leather Boots
140F2000	Digren Plate Helm
14300000	Hernandian Honor Guard Boots
14422000	Rarkah Cloth Armor
14430F00	Turncoat Plate Armor
14440F00	Fundamentalist Goblin Cloth Armor
14450F00	Prickly Pear Seed
14460F00	Fluttering Radiance Plate Boots
14470F00	Health Detection Device
14480F00	Medicine Ceramic Jar
14490F00	Steamed Fish
144A0F00	Sealed Abyss Artifact
144B0F00	Sungrove Manor Key
144C0F00	Clue from Oakenshield Manor
144D0F00	Circus Machine Sphere
144E0F00	Hidden Space - 0040
144F0F00	Lizard Leather Cloak
14500F00	Satisfying Mixed Stew
147F0E00	Woodcutter's Pack
148C2000	Agstree Leather Boots
148D0B00	Cotton
14BB0100	Dyrel Leather Armor
150F2000	Intaka Plate Helm
15300000	Weasel Leather Boots
15370000	Plate Armor of Cursed Soul
15422000	Rikkutan Cloth Armor
15430F00	Yellow Comma Butterfly
15440F00	Buckwheat
15450F00	Taro Seed
15460F00	Valortread Plate Cloak
15470F00	Meadow Butterfly
15480F00	Multipurpose Jar
15490F00	Deep Grey Dye
154A0F00	Sealed Abyss Artifact
154B0F00	Sword of Wayward Woods
154C0F00	Lift Instructions
154D0F00	Gear Blueprint: Fortification
154E0F00	Hidden Space - 0041
154F0F00	Test OneHandMace
15500F00	Filling Mixed Stew
158B0100	Rapps Plate Helm
158C2000	Deidre Leather Boots
158D0B00	Dendrobium Orchid
15BB0100	Merly Leather Armor
15E10100	Deskio Leather Gloves
160F2000	Inquisitor's Plate Helm
161A1700	Sahareum Stirrups
16300000	Scholastone Boots
16370000	Red Rider's Plate Armor
163A0100	Recipe: Bird Soup
16430F00	Turncoat Cloth Armor
16440F00	Filling Toasted Grains
16450F00	Hunter's Meat Pack
16460F00	Belkandor Plate Cloak
16470F00	Fruit Fly
16480F00	Medicine Jar
16490F00	Sonic Resonator
164A0F00	Sealed Abyss Artifact
164B0F00	Packaged Provisions
164C0F00	Equipment Manual
164D0F00	Gear Blueprint: Aegis
164E0F00	Hidden Space - 0042
164F0F00	Wolf Tracker Cloth Cloak
16500F00	Hearty Bird Soup
1673F951	Wide Basket
167F0E00	Quarrier's Pack
168B0100	Biconio Plate Helm
16BB0100	Trudy Leather Armor
170F2000	Half Moon Reaper Plate Helm
171A1700	Berkei Stirrups
17300000	Hernandian Banquet Leather Boots
17370000	Meyer Plate Armor
17430F00	Caliburn's Combat Engineer Cloth Armor
17440F00	Myurdin's Leather Boots
17450F00	Cast Iron Pan
17460F00	Belkandor Armor Blueprint
17470F00	Cockroach
17480F00	Round Jar
17490F00	The Thief's Second Note
174A0F00	Sealed Abyss Artifact
174B0F00	Packaged Timber
174C0F00	Abyss Artifact Fabricator
174D0F00	Gear Blueprint: Fortitude
174E0F00	Hidden Space - 0043
174F0F00	Bronze Horseshoes
17500F00	Satisfying Bird Soup
17760B00	Blueberry
177F0E00	Deer Pack
178C2000	Daine Leather Boots
17BB0100	Dreban Leather Armor
17BB0400	Staff of the Fleeting
180F2000	Mortain Plate Helm
181A1700	Delesyian Stirrups
18300000	Beekeeping Boots
18370000	Spiddle Plate Armor
18422000	Dutinan Chain Mail
18430F00	Caliburn's Combat Engineer Cloth Armor
18440F00	Trukan Cloth Boots
18450F00	Black Bear Prison Key
18460F00	Belkandor Cloak Blueprint
18470F00	Camp Food
18480F00	Worn Two-Handled Jar
18490F00	The Thief's Third Note
184A0F00	Sealed Abyss Artifact
184B0F00	Packaged Stone
184C0F00	Solidarity I
184D0F00	Gear Blueprint: Swift
184E0F00	Hidden Space - 0044
184F0F00	Shabby Horseshoes
18500F00	Filling Bird Soup
18760B00	Raspberry
187F0E00	Beekeeper's Pack
188C2000	Tression Leather Boots
18B20100	Dreer Plate Armor
18BB0100	Dellian Leather Armor
18BC0100	Acria Chain Mail
18C7442B	Canusti Plate Armor
18CF0000	Kuku Pot
18E10100	Geloufeld Plate Gloves
19110000	Broken Visione
191A1700	Calphadean Stirrups
19430F00	Caliburn's Combat Engineer Cloth Armor
19440F00	Trukan Cloth Gloves
19450F00	Golden Greathammer
19460F00	Valortread Plate Gloves
19470F00	Ricefish
19480F00	Shiny Ceramic Vase
19490F00	Demenissian Contribution
194A0F00	Sealed Abyss Artifact
194B0F00	Packaged Arms
194C0F00	Solidarity II
194D0F00	Gear Blueprint: Haste
194E0F00	Hidden Space - 0045
194F0F00	Four-Leaf Horseshoes
19500F00	Woman Holding a Water Bottle
197F0E00	Peddler's Pack
198C2000	Deint Leather Boots
19A0186D	Large Clays Leather Boots
19B20100	Rhogo Plate Armor
19BB0100	Kenecks Leather Armor
19C0C462	Inquisitor's Plate Helm
19EB250F	Small Delesyian Banner Pike
1A080200	Matis Leather Greaves
1A1A1700	Hernandian Stirrups
1A430F00	Caliburn's Combat Engineer Cloth Armor
1A440F00	Wooden Mask of Lost Justice
1A450F00	Fish Fillet
1A460F00	Recipe: Salt-Roasted Fish
1A470F00	Freshwater Crab
1A480F00	Gray Two-Handled Jar
1A490F00	Hernandian Contribution
1A4A0F00	Sealed Abyss Artifact
1A4B0F00	Cylindrical Wooden Box
1A4C0F00	Solidarity III
1A4D0F00	Gear Blueprint: Ascent
1A4E0000	Breath of the Abyss
1A4E0F00	Hidden Space - 0046
1A4F0F00	Spirit Transference
1A500F00	Priest in a Mask
1A7F0E00	Angler's Pack
1A8C2000	Matahka Leather Boots
1AB20100	Roshee Plate Armor
1ABB0100	Vierni Leather Armor
1ABC0100	Rotunso Leather Armor
1ABF0100	Tyran Cloth Armor
1B0F2000	Laccarsa Plate Helm
1B1A1700	Varnian Stirrups
1B3A2000	Aslan Chain Mail
1B430F00	Caliburn's Combat Engineer Leather Gloves
1B440F00	A.T.A.G. Thrusterpack Mk I
1B450F00	Chaya Seed
1B460F00	Belkandor Plate Gloves
1B470F00	Wharf Roach
1B480F00	Brown Two-Handled Jar
1B490F00	Pailunese Contribution
1B4A0F00	Sealed Abyss Artifact
1B4B0F00	Wolf Tracker Leather Armor
1B4C0F00	Spirit's Judgment
1B4D0F00	Large Livestock Capacity Increase
1B4E0000	Spirit of the Abyss
1B4E0F00	Hidden Space - 0047
1B4F0F00	Stamina Transference
1B500F00	Core of Temperance
1B7F0E00	Quarrier's Pack
1B82EF48	Pavis Leather Boots
1B8C2000	Goot Leather Boots
1BB20100	Romund Plate Armor
1BBB0100	Blaine Leather Armor
1BBC0100	Rombardina Leather Armor
1BBF0100	Tiron Cloth Armor
1C0F2000	Maydocs Plate Helm
1C1A1700	Demenissian Stirrups
1C3A0100	Recipe: Antler Tea
1C3A2000	Cantina Chain Mail
1C430F00	Modified Rahbae Plate Helm
1C440F00	Solumen's Holy Water
1C450F00	Beltran Plate Helm
1C460F00	Belkandor Gloves Blueprint
1C470F00	Mountain Moth
1C480F00	Red One-Handled Jar
1C490F00	Helms Bull Helm
1C4A0F00	Sealed Abyss Artifact
1C4B0F00	Bandit Cloth Armor
1C4C0F00	Spire of Clockwork Key
1C4D0F00	Gear Blueprint: Vitality
1C4E0000	Vitality of the Abyss
1C4E0F00	Hidden Space - 0048
1C4F0F00	Unknown Adventurer's Log
1C500F00	Core of Atonement
1C6D0000	Salt-Roasted Bird Meat
1C760B00	Potato
1C7F0E00	Wheelwright's Pack
1C8B0100	Kurua Plate Helm
1C8C2000	Gatin Leather Boots
1CB20100	Valkyder Plate Armor
1CBB0100	Cyton Leather Armor
1CBC0100	Sicillion Leather Armor
1CBF0100	Tyrune Cloth Armor
1CC21100	Demeniss Ceremonial Plate Armor
1CE10100	Asty Cloth Gloves
1D0F2000	Demenissian Soldier Plate Helm
1D250000	Marni Tank Blaster
1D370000	Frozen Heart Plate Armor
1D3A0100	Recipe: Fruit Juice
1D3E0000	Frozen Anguish
1D430F00	Tech Hat
1D440F00	Gilded Goblin's Cloth Armor
1D450F00	Gear Blueprint: Frost Hail
1D460F00	Seal of Greed - Goldleaf Merchant Guild
1D470F00	Dragonfly
1D480F00	Gray Jar
1D490F00	Joan's Leather Armor
1D4A0F00	Sealed Abyss Artifact
1D4B0F00	Abyssal Dragon Armor
1D4C0F00	Gear Blueprint: Surge
1D4D0F00	Turnali's Smithy Flyer
1D4E0F00	Hidden Space - 0049
1D4F0F00	Unknown Adventurer's Log
1D500F00	Core of Deliverance
1D760B00	Sweet Potato
1D7F0E00	Angler's Pack
1DB20100	Killian Plate Armor
1DBC0100	Rhodelphine Leather Armor
1DBF0100	Tarun Cloth Armor
1E0F2000	Renkshaw Plate Helm
1E250000	Mechanical Clockwork Blaster
1E3E0000	Hound
1E430F00	Red Lycaenid Butterfly
1E440F00	Greymane's Earring
1E450F00	Gear Blueprint: Volcanic Eruption
1E460F00	Belkandor Boots Blueprint
1E470F00	Golden Shield
1E480F00	Ocher Jar
1E490F00	Kenneth's Leather Armor
1E4A0F00	Sealed Abyss Artifact
1E4B0F00	Delegation Leather Hat
1E4C0F00	Piece from Oakenshield Manor
1E4D0F00	Abyss Cell: No. 1
1E4E0F00	Hidden Space - 0050
1E4F0F00	Unknown Adventurer's Log
1E500F00	Core of Exaltation
1E760B00	Blackberry
1E7F0E00	Bell Pack
1E8C2000	Infreen Leather Boots
1EB20100	Kenmore Plate Armor
1EBC0100	Tallofer Leather Armor
1EBF0100	Tynion Cloth Armor
1F009129	Grotevant Plate Boots
1F0F2000	Longia Plate Helm
1F3E0000	Twisted Verdict
1F422000	Lokra Cloth Armor
1F430F00	Blue Lycaenid Butterfly
1F440F00	Master Du's Circlet
1F450F00	Bleed Officer's Cloth Cloak
1F460F00	Hearty Smoked Eggs
1F470F00	Grape Seed
1F480F00	Small Storage Jar
1F490F00	Delesyian Contribution
1F4A0F00	Sealed Abyss Artifact
1F4B0F00	Witch's Token
1F4C0F00	Alchemy Formula: Refined Palmar Pill
1F4D0F00	Abyss Cell: No. 2
1F4E0F00	Hidden Space - 0051
1F4F0F00	Unknown Adventurer's Log
1F500F00	Core of Veneration
1F7F0E00	Turtle Pack
1F8C2000	Ferman Leather Boots
1FB20100	Kinloch Plate Armor
1FBF0100	Tanion Cloth Armor
1FC11100	Ironwilled Guardian's Leather Armor
1FE10100	Dimfeld Leather Gloves
20350000	Shell of the Fleeting
20422000	Reltian Cloth Armor
20430F00	Bundle of Arrows
20440F00	Recipe: Pan-Fried Marinated Meat
20450F00	Demeniss Brimstone Gas Mask
20460F00	Valortread Plate Helm
20470F00	Firearms Box
20480F00	Large Medicine Jar
20490F00	Aldric's Leather Armor
204A0F00	Sealed Abyss Artifact
204B0F00	Witch's Token
204C0F00	Gear Blueprint: Flameward
204D0F00	Power Core - Gate of Collapse
204E0F00	Hidden Space - 0052
204F0F00	Unknown Adventurer's Log
20500F00	Core of Devotion
207F0E00	Carpenter's Pack
208B0B00	Beehive
208C2000	Ratti Leather Boots
20B20100	Lanauk Plate Armor
20BC0100	Unyielding Warrior's Plate Armor
20BF0100	Neslan Cloth Armor
20D1CC7C	Brejin Plate Armor
20E10100	Trowder Leather Gloves
210F2000	Demenissian Guard's Plate Helm
21422000	Reltan Cloth Armor
21430F00	Plate Armor of the Shadows
21440F00	Marni Stirrups
21450F00	Olvald's Logging Axe
21460F00	Belkandor Plate Helm
21470F00	Book
21480F00	Cylindrical Jar
21490F00	Branique Saddle
214A0F00	Sealed Abyss Artifact
214B0F00	Witch's Token
214C0F00	Gear Blueprint: Frostward
214D0F00	Destruction I
214E0F00	Hidden Space - 0053
214F0F00	Unknown Adventurer's Log
21500F00	Kharonso Ruins Pillar: No. 1
217F0E00	Birdcage Pack
218B0B00	Wild Ginseng
218C2000	Lutteri Leather Boots
21A10700	Inquisitor's Greataxe
21B20100	Spiddle Plate Armor
21BC0100	Meishod Cloth Armor
21BF0100	Eshrun Cloth Armor
21C21100	Camouflage Outfit
21E10100	Caviden Leather Gloves
220F2000	Rhinoceros Plate Helm
22422000	Reltinan Cloth Armor
22430F00	Grizzled Skipper Butterfly
22440F00	Dark Ice Spear Magic Bullet
22450F00	Tauria Curved Sword
22470F00	Great Thief's Gloves
22480F00	Ornate Tree Pattern Vase
22490F00	Personal Strongbox Permit
224A0F00	Sealed Abyss Artifact
224B0F00	Demeniss Guard's Plate Armor
224C0F00	Gear Blueprint: Shockward
224D0F00	Destruction II
224E0F00	Hidden Space - 0054
224F0F00	Unknown Adventurer's Log
22500F00	Kharonso Ruins Pillar: No. 2
227F0E00	Woodcutter's Pack
22805F2E	Kunan Plate Armor
22B20100	Meyer Plate Armor
22B9A217	Bleed Bandits' Gas Mask
22BC0100	Valldren Leather Armor
22BF1100	Sword of the Wolf
230F2000	Mottie Plate Helm
23250000	Blaster No. 8
23422000	Ketian Cloth Armor
23430F00	Blue Tailed Butterfly
23440F00	Recipe: Marinated Meat
23450F00	Hernand Encampment
23460F00	Black Bear Leather Boots
23470F00	Bismuth Spear
23480F00	Water Pot
23490F00	Long-Necked Silver Jar
234A0F00	Sealed Abyss Artifact
234B0F00	Demeniss Guard's Plate Armor
234C0F00	Gear Blueprint: Arrow Rain
234D0F00	Destruction III
234E0F00	Hidden Space - 0055
234F0F00	Unknown Adventurer's Log
23500F00	Kharonso Ruins Pillar: No. 3
238C2000	Half Moon Reaper Plate Boots
23B20100	Edzel Plate Armor
23BC0100	Moldur Leather Armor
23BF1100	Bekker Shield
240F2000	Enratte Plate Helm
24250000	Wyvern Blaster
24350000	Balgran Shield
24422000	Kithan Cloth Armor
24430F00	Meliara's Elixir
24440F00	Worn Earring
24450F00	Ivynook
24460F00	Umbra's Hierophany Leather Gloves
24470F00	Golden Goose Egg
24480F00	Grain Jar
24490F00	Valvegard Garrison Key
244A0F00	Sealed Abyss Artifact
244B0F00	Wetlands Clays Leather Boots
244C0F00	Gear Blueprint: Kinetic Burst
